IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,AFR,Africa,Country,SYC,Seychelles,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,10,,,9.7,,10.3,10 [9.7 – 10.3],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,EUR,Europe,Country,UKR,Ukraine,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,10.1,,,9.6,,10.5,10.1 [9.6 – 10.5],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,EUR,Europe,Country,EST,Estonia,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,10.1,,,9.8,,10.5,10.1 [9.8 – 10.5],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,WPR,Western Pacific,Country,MNG,Mongolia,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,10.3,,,10,,10.7,10.3 [10 – 10.7],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,AMR,Americas,Country,BHS,Bahamas,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,10.3,,,9.6,,11,10.3 [9.6 – 11],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,WPR,Western Pacific,Country,VNM,Viet Nam,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,10.3,,,9.6,,11,10.3 [9.6 – 11],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,WPR,Western Pacific,Country,TON,Tonga,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,10.3,,,9.7,,10.9,10.3 [9.7 – 10.9],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,EUR,Europe,Country,RUS,Russian Federation,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,10.3,,,9.8,,10.7,10.3 [9.8 – 10.7],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,AFR,Africa,Country,CMR,Cameroon,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,10.4,,,9.9,,10.8,10.4 [9.9 – 10.8],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,AFR,Africa,Country,BFA,Burkina Faso,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,10.4,,,9.9,,11,10.4 [9.9 – 11],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,AMR,Americas,Country,BOL,Bolivia (Plurinational State of),Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,10.5,,,10.1,,10.9,10.5 [10.1 – 10.9],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,AFR,Africa,Country,GHA,Ghana,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,10.6,,,10,,11.2,10.6 [10 – 11.2],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,EMR,Eastern Mediterranean,Country,OMN,Oman,Year,2016,true,Sex,Male,MLE,,,,,,,,,,10.6,,,10,,11.2,10.6 [10 – 11.2],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,10.8,,,10.1,,11.6,10.8 [10.1 – 11.6],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,WPR,Western Pacific,Country,NRU,Nauru,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,10.8,,,10.3,,11.4,10.8 [10.3 – 11.4],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,EUR,Europe,Country,TUR,Türkiye,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,10.9,,,10.4,,11.4,10.9 [10.4 – 11.4],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,EUR,Europe,Country,LVA,Latvia,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,11,,,10.6,,11.3,11 [10.6 – 11.3],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,AFR,Africa,Country,CAF,Central African Republic,Year,2016,true,Sex,Male,MLE,,,,,,,,,,11.1,,,10.5,,11.8,11.1 [10.5 – 11.8],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,EUR,Europe,Country,KGZ,Kyrgyzstan,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,11.1,,,10.6,,11.6,11.1 [10.6 – 11.6],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,AMR,Americas,Country,GTM,Guatemala,Year,2016,true,Sex,Male,MLE,,,,,,,,,,11.2,,,10.7,,11.8,11.2 [10.7 – 11.8],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2016,true,Sex,Male,MLE,,,,,,,,,,11.2,,,10.9,,11.5,11.2 [10.9 – 11.5],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,AFR,Africa,Country,BDI,Burundi,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,11.3,,,10.6,,11.9,11.3 [10.6 – 11.9],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,11.3,,,10.9,,11.7,11.3 [10.9 – 11.7],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,AFR,Africa,Country,MDG,Madagascar,Year,2016,true,Sex,Male,MLE,,,,,,,,,,11.4,,,10.7,,12.1,11.4 [10.7 – 12.1],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,AFR,Africa,Country,MUS,Mauritius,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,11.4,,,10.9,,11.9,11.4 [10.9 – 11.9],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,11.5,,,10.4,,12.5,11.5 [10.4 – 12.5],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,AFR,Africa,Country,MOZ,Mozambique,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,11.5,,,10.9,,12.2,11.5 [10.9 – 12.2],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,AFR,Africa,Country,DZA,Algeria,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,11.6,,,11,,12.2,11.6 [11 – 12.2],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,WPR,Western Pacific,Country,TUV,Tuvalu,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,11.6,,,11.1,,12.1,11.6 [11.1 – 12.1],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,EUR,Europe,Country,ITA,Italy,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,11.6,,,11.3,,11.9,11.6 [11.3 – 11.9],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,EMR,Eastern Mediterranean,Country,IRQ,Iraq,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,11.7,,,11,,12.5,11.7 [11 – 12.5],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,EMR,Eastern Mediterranean,Country,SYR,Syrian Arab Republic,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,11.7,,,11.1,,12.2,11.7 [11.1 – 12.2],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,EUR,Europe,Country,NLD,Netherlands,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,11.7,,,11.4,,11.9,11.7 [11.4 – 11.9],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,SEAR,South-East Asia,Country,TLS,Timor-Leste,Year,2016,true,Sex,Male,MLE,,,,,,,,,,11.8,,,10.9,,12.7,11.8 [10.9 – 12.7],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,AFR,Africa,Country,BEN,Benin,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,11.8,,,11.1,,12.5,11.8 [11.1 – 12.5],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,AMR,Americas,Country,JAM,Jamaica,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,11.8,,,11.3,,12.3,11.8 [11.3 – 12.3],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,EUR,Europe,Country,LTU,Lithuania,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,11.8,,,11.5,,12.1,11.8 [11.5 – 12.1],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,WPR,Western Pacific,Country,SLB,Solomon Islands,Year,2016,true,Sex,Male,MLE,,,,,,,,,,12,,,11.5,,12.6,12 [11.5 – 12.6],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,EUR,Europe,Country,MLT,Malta,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,12.1,,,11.7,,12.5,12.1 [11.7 – 12.5],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,AMR,Americas,Country,PER,Peru,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,12.1,,,11.7,,12.5,12.1 [11.7 – 12.5],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,AFR,Africa,Country,RWA,Rwanda,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,12.1,,,11.7,,12.6,12.1 [11.7 – 12.6],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,AFR,Africa,Country,TGO,Togo,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,12.2,,,11.5,,12.9,12.2 [11.5 – 12.9],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,WPR,Western Pacific,Country,LAO,Lao People's Democratic Republic,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,12.2,,,11.6,,12.8,12.2 [11.6 – 12.8],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,AFR,Africa,Country,ZWE,Zimbabwe,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,12.2,,,11.7,,12.6,12.2 [11.7 – 12.6],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,AFR,Africa,Country,BWA,Botswana,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,12.2,,,11.7,,12.7,12.2 [11.7 – 12.7],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,AFR,Africa,Country,NGA,Nigeria,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,12.2,,,11.7,,12.7,12.2 [11.7 – 12.7],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,EUR,Europe,Country,ISL,Iceland,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,12.2,,,11.8,,12.6,12.2 [11.8 – 12.6],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,AFR,Africa,Country,TZA,United Republic of Tanzania,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,12.3,,,11.7,,12.8,12.3 [11.7 – 12.8],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,EUR,Europe,Country,SWE,Sweden,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,12.4,,,12,,12.9,12.4 [12 – 12.9],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,WPR,Western Pacific,Country,TON,Tonga,Year,2016,true,Sex,Male,MLE,,,,,,,,,,12.5,,,11.8,,13.2,12.5 [11.8 – 13.2],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,AFR,Africa,Country,LSO,Lesotho,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,12.5,,,11.9,,13.1,12.5 [11.9 – 13.1],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,AMR,Americas,Country,ECU,Ecuador,Year,2016,true,Sex,Male,MLE,,,,,,,,,,12.5,,,12,,12.9,12.5 [12 – 12.9],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,SEAR,South-East Asia,Country,MDV,Maldives,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,12.6,,,11.7,,13.6,12.6 [11.7 – 13.6],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,AFR,Africa,Country,UGA,Uganda,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,12.6,,,12.1,,13,12.6 [12.1 – 13],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,AMR,Americas,Country,SUR,Suriname,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,12.7,,,12.2,,13.1,12.7 [12.2 – 13.1],,,EN,2018-08-22T22:00:00.000Z
SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",numeric,AMR,Americas,Country,SLV,El Salvador,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,12.7,,,12.2,,13.3,12.7 [12.2 – 13.3],,,EN,2018-08-22T22:00:00.000Z
